,ERBB2,CPNE3,KPNA2,ARHGDIB,APRT,ATP5B,ATP5D,BOLA2,CACYBP,CALML3,CANX,CS,CTNNB1,DHX15,DLD,EIF5A,ETFB,HIST1H1B,HIST1H1E,HIST1H4A,HMGA1,HSPE1,KARS,LRPPRC,MDH2,NTMT1,PRDX3,PRKCSH,PTGES,RANBP1,RHOC,RPL19,SLC25A3,SLC25A6,SSBP1,SSRP1,VDAC2
1,0.22,1.33,3.77,0.6,1.24,0.83,0.74,2,1.68,4.72,0.8,0.85,0.64,1.5,1.29,1.26,4.68,3.02,1.3,0.65,0.63,1.99,1.6,1.64,0.89,1.74,0.68,0.76,1.08,1.53,0.7,1.35,1.88,2.52,0.81,1.26,1.83
2,1.42,0.51,2.4,0.28,1.39,0.72,0.64,1.3,1.84,5.42,0.98,0.81,0.98,1.11,2.06,1.36,1.19,2.13,1.07,1.15,0.52,0.89,2.81,0.83,0.85,0.91,0.47,0.82,1.05,1.38,0.56,1.19,1.61,0.88,2.43,1.88,2.61
3,2.34,1.39,1.13,0.41,0.76,0.92,0.91,2.11,3.14,8.28,1.79,0.98,0.77,1.4,1.65,1.46,1.76,1.59,1.1,0.53,1.82,2.31,2.59,1.31,1.27,1.11,0.34,1.38,0.99,1.65,0.28,1.34,2.17,0.9,1.94,0.84,1.63
4,0.76,1.02,1.42,0.56,0.82,0.96,1,1.42,1.73,3.03,0.85,0.79,0.98,1.88,2,1.69,0.88,4.01,2.13,1.43,1.12,1.27,1.4,0.93,1.26,1.48,1.11,1.42,2.82,2.22,0.53,1.36,1.94,1.11,1.52,2.96,1.82
5,0.39,1.75,1.63,0.34,1.96,0.83,0.79,1.45,2.28,6.42,1.04,0.52,0.75,1.22,1.93,1.54,1.17,1.29,0.33,0.52,0.59,0.95,3.17,1.64,1.23,1.13,0.31,0.88,0.96,1.33,0.91,1.69,2.08,1.56,1.09,1.09,1.82
6,0.34,1.23,3.12,0.88,1.03,1.03,1.3,2.1,1.87,5.88,1.03,0.66,1.39,1.18,3.01,1.93,1.58,3.07,0.79,0.79,1.07,1.72,1.64,2.28,2.21,2.72,0.58,0.9,0.89,1.52,0.76,1.75,2.13,2.22,2.04,0.85,2.43
7,1.36,1.46,3.32,0.4,1.18,0.55,0.39,2.62,2.51,2.16,2.26,0.63,1.38,1.94,1.39,1.71,1.1,1.38,0.84,0.58,2.36,1.97,2.6,1.69,1.32,2.88,0.53,1.37,2.03,2.09,1.31,2.29,3.81,3.6,1.7,1.35,2.03
8,0.49,1,1.65,0.49,0.8,0.79,0.82,1.65,1.87,2.68,0.41,0.92,0.53,1.2,1.84,1.33,1.35,3.74,1.1,0.79,0.79,1.42,1.97,1.04,1.24,1.36,0.8,0.7,1.9,1.57,0.76,1.38,1.99,1.77,0.93,1.7,1.58
9,0.3,1.28,2.68,0.26,0.68,0.88,0.96,1.83,1.65,2.1,1.32,1.2,0.48,1.47,2.36,1.55,0.94,2.15,1.01,0.8,1.07,2.61,2.26,1.5,1.59,0.54,0.52,0.9,0.76,1.42,0.42,1.49,1.98,1.45,1.53,1.89,1.87
10,0.35,1.48,2.51,0.23,0.97,0.96,1.05,1.89,2.1,3.25,1.34,1,0.52,1.56,2.34,1.67,1.19,2.06,0.91,0.99,1.02,2.46,1.88,1.42,1.86,1.19,0.53,0.85,1.29,1.15,0.65,1.57,1.81,1.59,1.52,2.05,1.77
11,0.74,2.36,1.96,0.94,1,1.3,0.72,2.33,5.67,2.87,2.24,1.55,1.15,1.87,3,1.94,2.07,2.86,2.06,0.92,1.18,2.37,3.05,1.54,0.39,1.17,0.71,2.04,2.51,1.69,0.92,3.38,6.56,3.22,1.79,1.83,2.93
12,0.24,1.22,2.53,0.46,1.29,0.77,0.68,1.57,1.2,3.86,0.58,0.81,0.79,1.31,1.19,1.44,8.2,3.13,1.56,1.09,0.82,1.87,1.4,1.49,0.96,1.48,0.69,0.75,1.49,0.87,0.88,1.06,1.7,2.74,0.83,1.41,2.16
13,1.35,1.55,1.17,0.83,1.35,0.9,0.81,2.08,1.56,3.8,1.4,1.31,0.83,1.43,2.26,1.24,2.51,2.81,0.9,0.68,0.8,2.56,1.93,1.46,1.26,1.62,0.69,1.86,2.58,1.45,0.61,1.4,1.68,0.97,1.19,1.2,2.07
14,0.44,1.88,0.51,0.89,1.27,0.83,0.67,3.02,6.09,4.24,1.24,0.88,1.04,1.69,2.57,2.13,2,3.16,1.8,0.88,0.63,2.3,3,2.09,2.03,1.22,0.51,1.63,2.47,1.77,1.44,2.96,3.95,2.06,1.67,1.17,1.82
15,0.58,1.21,1.49,1.92,0.45,0.78,0.68,1.39,2.38,2.82,1.68,1.1,1.14,1.26,1.43,1.63,1.7,2.63,1.92,0.85,1.67,1.78,1.4,1.47,1.25,0.98,1.24,1,1.15,0.93,0.9,3.11,2.22,1.45,1.16,1.83,0.93
