,ERBB2,CPNE3,KPNA2,ARHGDIB,APRT,ATP5B,ATP5D,BOLA2,CACYBP,CALML3,CANX,CS,CTNNB1,DHX15,DLD,EIF5A,ETFB,HIST1H1B,HIST1H1E,HIST1H4A,HMGA1,HSPE1,KARS,LRPPRC,MDH2,NTMT1,PRDX3,PRKCSH,PTGES,RANBP1,RHOC,RPL19,SLC25A3,SLC25A6,SSBP1,SSRP1,VDAC2
1,4.75,1.09,1.66,0.204,1.21,0.98,1.71,1.75,2.2,3.44,1.05,1.13,0.61,1.32,2.08,1.17,2.32,1.69,0.58,0.87,0.38,2.63,1.39,0.98,1.81,1.97,1.53,1.18,2.59,1.07,0.92,1.28,3.33,1.06,1.66,1.01,2.3
2,3.34,1.41,1.11,0.599,1.63,1.13,1.36,2.87,2.63,2.15,1.1,1.34,0.5,1.44,2.53,1.36,2.04,1.23,1.41,0.8,0.51,3.37,1.47,1.93,2.05,1.12,1.31,0.75,2.14,1.1,0.6,1.25,2.31,1.12,2.08,1.27,2.38
3,2.01,1.99,2.27,0.619,0.87,0.54,0.56,1.37,3.12,2.9,0.79,0.81,0.58,1.52,1.42,2.8,0.94,3.33,1.41,1.09,1.73,0.77,1.78,1.47,1.09,3.82,0.46,0.82,2.04,1.2,0.88,3.36,3,1.18,1.01,1.75,2.28
4,3.76,1.86,1.42,0.765,1.41,0.97,1.05,2.93,2.68,4.19,1.12,1.35,0.63,1.2,2.32,1.64,3.5,1.21,0.88,0.62,1.08,2.6,2.12,1.83,1.96,1.26,0.91,0.89,2.03,1.94,0.9,1.61,3.4,1.32,1.46,0.96,2.46
5,2.51,1.49,1.42,3.11,0.95,0.6,0.39,1.91,6.12,2.14,2.86,0.61,1.11,1.63,1.99,2.42,1.55,2.51,1.75,1.76,14.4,3.22,1.34,2.05,1.26,2.39,0.62,1.64,2.16,2.66,0.76,1.3,2.82,1.58,1.73,1.57,1.13
6,4.25,1.77,1.22,0.193,0.73,0.98,1.13,2.41,1.46,2.94,1.2,1.13,0.81,1.41,1.05,1.33,3.68,1.21,0.43,0.68,0.48,0.97,1.54,1.19,0.97,1.61,0.83,0.92,2.1,1.31,0.86,1.24,2.69,1.87,1.22,1.46,1.07
7,3.99,3.8,1.85,0.471,0.67,0.86,0.87,2.88,3.04,5.49,1.19,2.29,0.79,1.43,2.15,1.73,2.13,0.7,0.25,0.24,0.41,3.3,1.42,1.37,1,2.11,0.4,1.17,2.61,1.44,2.53,2.19,3.73,2.65,1.31,1.12,1.7
8,3.78,2.19,3.95,0.616,0.81,0.76,0.91,3.38,4.63,2.93,1.85,1.47,0.37,1.87,2.03,2.03,1.75,2.13,0.47,0.91,1.77,3.27,1.96,2.21,1.37,2.45,0.56,1.56,2.45,1.44,0.74,1.91,2.93,1.71,2.26,1.36,2.18
9,3.59,1.89,3.12,0.419,1.09,0.86,0.95,2.89,3.82,2.86,1.05,1.11,0.59,1.64,1.9,1.74,1.14,2.52,0.53,0.75,0.4,1.49,2.12,1.54,1.25,0.91,0.67,0.72,1.44,1.79,0.51,1.69,2.83,1.61,1.27,2.08,2.05
10,3.06,2.07,1.35,0.172,0.55,0.74,0.79,2.42,2.06,2.83,2.15,0.71,1.53,1.03,2.15,1.61,1.57,0.62,0.18,0.45,0.21,1.59,1.65,1.36,1.41,2.34,0.63,1.22,2.07,1.2,1.45,1.79,3.94,2.4,1.08,1.34,2.59
11,2.03,1.46,1.98,0.177,1.09,0.99,0.96,2.06,4.59,2.57,0.85,1.44,0.45,1.47,2.71,1.9,1.9,1.63,0.69,0.61,0.8,2.58,2.6,2,1.62,2.22,1.18,0.77,2.25,0.84,1.19,2.1,4.33,5.19,0.77,1.38,2.08
